,avstånd till framförvarande fordon (sek),avstånd till fordon i närliggande fil,vinkel mellan last bil och släp,hastighet,avvikelse från mitten av filen,acceleration i sidled,acc
0,9.97818181818182,0,0.0,15.277777777777777,0.0,0,0.4905000096791074
1,9.874136973170197,0,4.951340950938264e-11,15.375877779713596,7.58886287144378e-11,0,0.4905000096791074
2,9.770143410869048,0,9.934373166623791e-11,15.473977781649415,3.054996255968945e-10,0,0.4905000096791074
3,9.666200162224992,0,1.494909664705658e-10,15.572077783585234,6.917666439676395e-10,0,0.4905000096791074
4,9.562306282444105,0,1.9995511392236637e-10,15.670177785521053,1.2376406566261267e-09,0,0.4905000096791074
5,9.45846085023759,0,2.507361740216395e-10,15.768277787456872,1.9460926203862527e-09,0,0.49050000896467744
6,9.354662967180557,0,1.5815080992224428e-10,15.866377789249809,2.592842829329811e-09,0,0.49050000896467744
7,9.250911756755919,0,6.499122592264331e-11,15.964477791042745,2.9479827468037456e-09,0,0.49050000896467744
8,9.147206363938086,0,2.8742577977163438e-11,16.062577792835675,3.0060296474232473e-09,0,0.49050000896467744
9,9.043545954457256,0,1.2305060177717592e-10,16.160677794628604,2.761466166845139e-09,0,0.49050000896467744
10,8.939929714173493,0,2.1793284547739416e-10,16.258777796421533,2.208741189946295e-09,0,0.40130829983091537
11,8.846113222988127,0,1.1097218045416973e-10,16.339039456387717,2.0344068651922953e-09,0,0.40130829983091537
12,8.752236276767299,0,4.414968524588285e-10,16.4193011163539,2.9393052436432754e-09,0,0.40130829983091537
13,8.658299757844723,0,7.73641170536582e-10,16.499562776320083,4.939353814847891e-09,0,0.40130829983091537
14,8.564304531464854,0,1.1074051346874303e-09,16.579824436286266,8.050546895788102e-09,0,0.40130829983091537
15,8.470251446194709,0,1.4427887449113736e-09,16.66008609625245,1.2288957851325222e-08,0,0.006474404296657558
16,8.416314089592179,0,1.2759081340365065e-09,16.661380977111783,1.6818506143323475e-08,0,0.006474404296657558
17,8.362369572273318,0,1.1090145531139314e-09,16.662675857971116,2.0792271016034647e-08,0,0.006474404296657558
18,8.308417895976516,0,9.421080021436488e-10,16.66397073883045,2.421012279540946e-08,0,0.006474404296657558
19,8.254459062436451,0,7.751884811256585e-10,16.665265619689784,2.707193180739864e-08,0,0.006474404296657558
20,8.20049307338425,0,6.082559900599605e-10,16.666560500549117,2.937756882204212e-08,0,0.00010445306200978577
21,8.147150292930636,0,3.672021276113013e-10,16.66658139116152,3.100332301997355e-08,0,0.00010445306200978577
22,8.09380739430259,0,1.2614796301513815e-10,16.666602281773926,3.1825569735133286e-08,0,0.00010445306200978577
23,8.04046437755521,0,1.1490650372852875e-10,16.66662317238633,3.184430541480765e-08,0,0.00010445306200978577
24,7.987121242741091,0,3.5596127261969956e-10,16.666644062998735,3.1059527394461384e-08,0,0.00010445306200978577
25,7.9337779899104355,0,5.970163436583742e-10,16.66666495361114,2.9471232565470018e-08,0,1.6851601968757063e-06
26,7.880444460702236,0,3.6715418453678904e-10,16.666665290643174,2.786428154877285e-08,0,1.6851601968757063e-06
27,7.8271109286457845,0,1.372920207669488e-10,16.666665627675208,2.702353762984444e-08,0,1.6851601968757063e-06
28,7.773777393784301,0,9.257014765114651e-11,16.666665964707242,2.6949001696863206e-08,0,1.6851601968757063e-06
29,7.720443856159034,0,3.224323207174969e-10,16.666666301739276,2.7640672417561518e-08,0,1.6851601968757063e-06
30,7.667110315809342,0,5.522944984321025e-10,16.66666663877131,2.9098549791939377e-08,0,2.718093449106495e-08
31,7.613776926244156,0,3.41493799660422e-10,16.666666644207503,3.058819730838991e-08,0,2.718093449106495e-08
32,7.560443535884857,0,1.3069310081998432e-10,16.666666649643695,3.137517534668177e-08,0,2.718093449106495e-08
33,7.507110144765634,0,8.01075980892105e-11,16.666666655079887,3.1459484794993386e-08,0,2.718093449106495e-08
34,7.45377675291911,0,2.9090829706716254e-10,16.66666666051608,3.084112476514633e-08,0,2.718093449106495e-08
35,7.400443360376414,0,5.017089961138718e-10,16.66666666595227,2.952009614531903e-08,0,4.311259870708555e-10
36,7.347109969557751,0,3.0790927852532817e-10,16.666666666038502,2.8170732413457245e-08,0,4.311259870708555e-10
37,7.293776578130918,0,1.1410956093578181e-10,16.666666666124733,2.746736749159595e-08,0,4.311259870708555e-10
38,7.240443186122955,0,7.969015665476722e-11,16.666666666210965,2.741000182382436e-08,0,4.311259870708555e-10
39,7.187109793559665,0,2.7348987424631895e-10,16.666666666297196,2.799863541014247e-08,0,4.311259870708555e-10
40,7.133776400465666,0,4.672895918388734e-10,16.666666666383428,2.9233267806461072e-08,0,-2.020414022182609e-12
41,7.080443006901774,0,2.8935825277669977e-10,16.66666666638303,3.0494347935672295e-08,0,-2.020414022182609e-12
42,7.027109612853565,0,1.1142691371453039e-10,16.666666666382632,3.1162323832489847e-08,0,-2.020414022182609e-12
43,6.973776218342425,0,6.650442534763472e-11,16.666666666382234,3.123719505282452e-08,0,-2.020414022182609e-12
44,6.920442823388765,0,2.444357644097956e-10,16.666666666381836,3.071896070849789e-08,0,-2.020414022182609e-12
45,6.8671094280120535,0,4.223671034719522e-10,16.66666666638144,2.960762213177759e-08,0,-1.1225422088304765e-11
46,6.813776032231642,0,2.586878169177712e-10,16.666666666379193,2.847253011140083e-08,0,-1.1225422088304765e-11
47,6.760442636064498,0,9.500853036361227e-11,16.666666666376948,2.788303543610482e-08,0,-1.1225422088304765e-11
48,6.707109239527529,0,6.867075619052462e-11,16.666666666374702,2.78391398822464e-08,0,-1.1225422088304765e-11
